<<<<<<< HEAD
=======
opinion,sentiment
>>>>>>> 1ba45736cedcfec7ce6154372888fcb70715b7a1
lionel messi is the best #Ballondor,positif
cristiano ronaldo is the best #Ballondor,positif
neymar jr is the best #Ballondor,positif
gianluigi buffon is the best #Ballondor,positif
sergio ramos is the best #Ballondor,positif
lionel messi is the worst #Ballondor,negatif
cristiano ronaldo is the worst #Ballondor,negatif
neymar jr is the worst #Ballondor,negatif
gianluigi buffon is the worst #Ballondor,negatif
sergio ramos is the worst #Ballondor,negatif
lionel messi is unstoppable #Ballondor,positif
cristiano ronaldo is unstoppable #Ballondor,positif
neymar jr is unstoppable #Ballondor,positif
gianluigi buffon is unstoppable #Ballondor,positif
sergio ramos is unstoppable #Ballondor,positif
lionel messi deserves to win #Ballondor,positif
cristiano ronaldo deserves to win #Ballondor,positif
neymar jr deserves to win #Ballondor,positif
gianluigi buffon deserves to win #Ballondor,positif
sergio ramos deserves to win #Ballondor,positif
lionel messi will win the trophy #Ballondor,positif
cristiano ronaldo will win the trophy #Ballondor,positif
neymar jr will win the trophy #Ballondor,positif
gianluigi buffon will win the trophy #Ballondor,positif
sergio ramos will win the trophy #Ballondor,positif
lionel messi cant even score #Ballondor,negatif
cristiano ronaldo cant even score #Ballondor,negatif
neymar jr cant even score #Ballondor,negatif
gianluigi buffon cant even score #Ballondor,negatif
sergio ramos cant even score #Ballondor,negatif
lionel messi always do blunder #Ballondor,negatif
cristiano ronaldo always do blunder #Ballondor,negatif
neymar jr always do blunder #Ballondor,negatif
gianluigi buffon always do blunder #Ballondor,negatif
sergio ramos always do blunder #Ballondor,negatif
lionel messi too old #Ballondor,negatif
cristiano ronaldo too old #Ballondor,negatif
neymar jr too old #Ballondor,negatif
gianluigi buffon too old #Ballondor,negatif
sergio ramos too old #Ballondor,negatif
lionel messi wins many trophies #Ballondor,positif
cristiano ronaldo wins many trophies #Ballondor,positif
neymar jr wins many trophies #Ballondor,positif
gianluigi buffon wins many trophies #Ballondor,positif
sergio ramos wins many trophies #Ballondor,positif
lionel messi saves the day #Ballondor,positif
cristiano ronaldo saves the day #Ballondor,positif
neymar jr saves the day #Ballondor,positif
gianluigi buffon saves the day #Ballondor,positif
sergio ramos saves the day #Ballondor,positif
lionel messi can only score by penalty #Ballondor,negatif
cristiano ronaldo can only score by penalty #Ballondor,negatif
neymar jr can only score by penalty #Ballondor,negatif
gianluigi buffon can only score by penalty #Ballondor,negatif
sergio ramos can only score by penalty #Ballondor,negatif
lionel messi is master of football #Ballondor,positif
cristiano ronaldo is master of football #Ballondor,positif
neymar jr is master of football #Ballondor,positif
gianluigi buffon is master of football #Ballondor,positif
sergio ramos is master of football #Ballondor,positif
lionel messi is overrated #Ballondor,negatif
cristiano ronaldo is overrated #Ballondor,negatif
neymar jr is overrated #Ballondor,negatif
gianluigi buffon is overrated #Ballondor,negatif
sergio ramos is overrated #Ballondor,negatif
lionel messi is underrated #Ballondor,positif
cristiano ronaldo is underrated #Ballondor,positif
neymar jr is underrated #Ballondor,positif
gianluigi buffon is underrated #Ballondor,positif
sergio ramos is underrated #Ballondor,positif
lionel messi is terrible #Ballondor,negatif
cristiano ronaldo is terrible #Ballondor,negatif
neymar jr is terrible #Ballondor,negatif
gianluigi buffon is terrible #Ballondor,negatif
sergio ramos is terrible #Ballondor,negatif
lionel messi is maestro #Ballondor,positif
cristiano ronaldo is maestro #Ballondor,positif
neymar jr is maestro #Ballondor,positif
gianluigi buffon is maestro #Ballondor,positif
sergio ramos is maestro #Ballondor,positif
