,0,1,opinion,sentiment
0,0,0," ""It's #BallondOr time where @Cristiano and  are pitched again each other for 9th time. #Ronaldo  https://t.co/jVOvWVz3tf""",positif
1,,0," ""It's #BallondOr time where  and @TeamMessi are pitched again each other for 9th time.  #Messi https://t.co/jVOvWVz3tf""",positif
2,,1," ""adidas Men's Soccer Messi Sweatpants #Messi #BallondOr #ElClasico &gt;https://t.co/obnW8Wl5nf&lt; https://t.co/GfLINVsL7H""",positif
3,,17, 'Watch next year when the media campaign for Ronaldo to win #BallonDor remember how awful he is &amp; how much better his teammates are #FIFA',negatif
4,,22, '@bghayward You think ronaldo is frustrated because of #BallonDor concerns or just obsessed with scoring each game?',positif
5,,25, 'RT @RuflessForza: Kevin De Bruyne. Best player on the planet #BallonDor',positif
6,,29, 'Kante tilbage. Chelsea vinder. Coincidence? I think not. Bare giv ham ballon d\u2019or nu og f\xe5 det overst\xe5et #ballondor\u2026 https://t.co/vBZrwQG2K2',positif
7,,35, 'ScutLunb Lunch Bag Barcelona Lionel Messi Lunch Tote... #Messi #BallondOr #ElClasico &gt;https://t.co/36346D5PuT&lt; https://t.co/zt8kQjBbqc',positif
8,,37, 'De Bruyne &gt; Ronaldo #ballondor',positif
9,,38, 'Kevin De Bruyne. Best player on the planet #BallonDor',positif
10,,39, 'RT @dhruv123tupac: DAVID DE GEA the best keeper in the world\nHe\u2019s up for the #BallonDor \n\U0001f608\u2764\ufe0f @D_DeGea \u2764\ufe0f\U0001f608 #Campeon #campeondelmundo https:/\u2026',positif
11,,52, 'Outdoor Football Messi Training Ball (1 Random Colour... #Messi #BallondOr #ElClasico &gt;https://t.co/X8WceXGFD5&lt; https://t.co/GaY9k9xyM6',positif
12,,54, 'RT @NzoGraphic: .@FCBarcelona nominees \U0001f535\U0001f534\n\n@TeamMessi @LuisSuarez9\n#FCBarcelona #BallonDor https://t.co/81cLrluR0G',
13,,80," ""RT @Eurosoccersite: If we used facts instead of a corrupt vote this would be the Ballon d'or ranking. #BallonDor #DFS #Messi  http\u2026""",positif
14,,80," ""RT @Eurosoccersite: If we used facts instead of a corrupt vote this would be the Ballon d'or ranking. #BallonDor #DFS #Neymar  http\u2026""",positif
15,,95, 'RT @FOXSoccer: Lionel Messi wins the 2015 FIFA  #BallondOr for a record fifth time! https://t.co/WLstDps9AH https://t.co/1KuDEmudCi',positif
16,,96, '@SoccerAM Neymar Jr. #BallonDor',
